Typ,Kauf,Kcur,Verkauf,Vcur,Gebuhr,Gcur,Datum,Index,Trade Gruppe,Kommentar,Trade ID
Einzahlung,7.92988706,DASH,0.0,,0.0,,23.02.2016 17:33,125,XvYis9P9VsfzCgBqFmYh4Q3SKvUeBDzu8X0.0OLD,,9a8741b028f6aa328638498cbd1053f646895020bfebe96b9fb6a5e368153055_792988706
Einzahlung,1000.00000000,DASH,0.0,,0.0,,23.02.2016 17:33,126,XoszKh8op6rBcRTrgMiKMWXi88w14jUNFX,9a8741b028f6aa328638498cbd1053f646895020bfebe96b9fb6a5e368153055,FakeID_bb1919ef46723d392e7f29b23a1337eb
Mining,1.94006228,DASH,0.0,,0.0,,02.03.2016 02:33,127,XoszKh8op6rBcRTrgMiKMWXi88w14jUNFX,efc24df691f105fa966b10cc7f0a2a17c22e76977e60d922287ef83d10969861,FakeID_140b4b4c553f18ac9a1a0385eb04daa3
Auszahlung,0.0,,50.83249236,BTC,0.0,,03.03.2016 08:03,128,,,3NXzeTfQR6MMpYRv8bDWd2K7cRGK14wbZP0.061bcc6c5c72b33c292405a0ab58706470493d2fe2c8df4af7122934725742e80
Einzahlung,20.83180586,BTC,0.0,,0.0,,03.03.2016 08:03,129,,,3GNAsLUFEvssGU7brpWrgwE4LdrxFkN1Xd0.061bcc6c5c72b33c292405a0ab58706470493d2fe2c8df4af7122934725742e80
Einzahlung,30.00000000,BTC,0.0,,0.0,,03.03.2016 08:53,130,,,61bcc6c5c72b33c292405a0ab58706470493d2fe2c8df4af7122934725742e80
Trade,132.87918169,DASH,1.22443772,BTC,0.26629095,DASH,03.03.2016 11:48,131,Exchange,,18558714
Trade,0.21364781,DASH,0.00196540,BTC,0.00042815,DASH,03.03.2016 11:48,132,Exchange,,18558713
Trade,74.43329940,DASH,0.68436869,BTC,0.14916493,DASH,03.03.2016 11:48,133,Exchange,,18558712
Trade,149.70000000,DASH,1.37639850,BTC,0.30000000,DASH,03.03.2016 11:48,134,Exchange,,18558711
Trade,0.15421801,DASH,0.00141734,BTC,0.00030905,DASH,03.03.2016 11:48,135,Exchange,,18558710
Trade,104.17126025,DASH,0.95720445,BTC,0.20876004,DASH,03.03.2016 11:48,136,Exchange,,18558709
Trade,112.37460314,DASH,1.03254019,BTC,0.22519961,DASH,03.03.2016 11:48,137,Exchange,,18558708
Trade,49.90000000,DASH,0.45849950,BTC,0.10000000,DASH,03.03.2016 11:48,138,Exchange,,18558707
Trade,49.90000000,DASH,0.45750000,BTC,0.10000000,DASH,03.03.2016 11:48,139,Exchange,,18558706
Trade,49.89999951,DASH,0.45749999,BTC,0.10000000,DASH,03.03.2016 11:48,140,Exchange,,18558705
Trade,49.90000000,DASH,0.45700000,BTC,0.10000000,DASH,03.03.2016 11:48,141,Exchange,,18558704
Trade,49.89999889,DASH,0.45699998,BTC,0.10000000,DASH,03.03.2016 11:48,142,Exchange,,18558703
Trade,76.77383463,DASH,0.70234980,BTC,0.15385538,DASH,03.03.2016 11:48,143,Exchange,,18558702
Trade,49.90000000,DASH,0.45650000,BTC,0.10000000,DASH,03.03.2016 11:48,144,Exchange,,18558701
Trade,49.89995667,DASH,0.45649960,BTC,0.09999991,DASH,03.03.2016 11:48,145,Exchange,,18558700
Trade,4.94679758,ETH,0.11545815,BTC,0.00991342,ETH,03.03.2016 11:54,146,Exchange,,18559600
Trade,8.26107781,ETH,0.19281264,BTC,0.01655527,ETH,03.03.2016 11:54,147,Exchange,,18559599
Trade,101.52138633,ETH,2.36919075,BTC,0.20344967,ETH,03.03.2016 11:54,148,Exchange,,18559598
Trade,28.41827464,ETH,0.66315040,BTC,0.05695045,ETH,03.03.2016 11:54,149,Exchange,,18559597
Trade,0.74488214,ETH,0.01739053,BTC,0.00149275,ETH,03.03.2016 11:54,150,Exchange,,18559608
Trade,116.55991516,ETH,2.72128860,BTC,0.23358700,ETH,03.03.2016 11:54,151,Exchange,,18559606
Trade,249.50000000,ETH,5.82500000,BTC,0.50000000,ETH,03.03.2016 11:54,152,Exchange,,18559605
Trade,49.90000000,ETH,1.16500000,BTC,0.10000000,ETH,03.03.2016 11:54,153,Exchange,,18559604
Trade,249.50000000,ETH,5.82500000,BTC,0.50000000,ETH,03.03.2016 11:54,154,Exchange,,18559603
